pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,1,0.5699999942779541,,0.5699999942779541,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,2,0.5420000019073486,,0.5420000019073486,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,4,0.5800000014305114,,0.5800000014305114,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,6,0.5579999995231628,,0.5579999995231628,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,8,0.5679999971389771,,0.5679999971389771,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,0,0.5839999990463257,,0.5839999990463257,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,1,0.5879999990463257,,0.5879999990463257,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,2,0.5819999942779541,,0.5819999942779541,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,3,0.6040000033378601,,0.6040000033378601,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,4,0.5999999942779541,,0.5999999942779541,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,0,0.5799999966621399,,0.5799999966621399,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,1,0.5939999966621399,,0.5939999966621399,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,2,0.6059999938011169,,0.6059999938011169,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,4,0.5920000038146973,,0.5920000038146973,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,6,0.6100000014305115,,0.6100000014305115,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,0,0.5739999942779541,,0.5739999942779541,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,1,0.6059999942779541,,0.6059999942779541,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,2,0.5939999947547913,,0.5939999947547913,1
