run_id,pair_id,source_task,target_task,direction,mode,transfer_mode,epoch_budget,seed,E,K,F,fixed_ratio,approx_runtime_sec,approx_runtime_min,best_test_acc,final_test_acc,config_snapshot_mtime,run_summary_mtime,has_metrics_history
dyn_vehicles1_to_vehicles2_E32_K8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,32,8,0,0.0,50.79,0.846,0.8000000042915344,0.7840000019073486,1775840292.3537426,1775840343.143622,True
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,1,0.125,50.736,0.846,0.8119999947547912,0.7700000042915345,1775841475.0327203,1775841525.7692,True
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,2,0.25,50.341,0.839,0.8139999995231628,0.7939999971389771,1775841528.6212287,1775841578.9617658,True
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,4,0.5,50.285,0.838,0.8039999995231628,0.7979999971389771,1775841581.833798,1775841632.1183891,True
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,6,0.75,52.361,0.873,0.7979999952316285,0.8059999971389771,1775841635.0304248,1775841687.3910925,True
fix_vehicles1_to_vehicles2_E32_K8_F8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,32,8,8,1.0,50.886,0.848,0.8260000019073487,0.7799999947547913,1775840619.1506064,1775840670.0363941,True
dyn_vehicles1_to_vehicles2_E8_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,50,1,8,4,0,0.0,43.069,0.718,0.8219999947547912,0.8060000014305114,1775842849.4433875,1775842892.5126762,True
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,1,0.25,44.285,0.738,0.8279999971389771,0.8199999990463257,1775844500.2226138,1775844544.5077388,True
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,2,0.5,43.258,0.721,0.8340000014305115,0.8039999947547912,1775844547.4401283,1775844590.6977367,True
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,3,0.75,43.621,0.727,0.7839999952316284,0.8099999995231628,1775844593.6341085,1775844637.2555048,True
