run_id,pair_id,source_task,target_task,direction,mode,transfer_mode,epoch_budget,seed,E,K,F,fixed_ratio,approx_runtime_sec,approx_runtime_min,best_test_acc,final_test_acc,config_snapshot_mtime,run_summary_mtime,has_metrics_history,dynamic_runtime_sec,dynamic_runtime_min,runtime_diff_sec_vs_dynamic,runtime_ratio_vs_dynamic
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,6,2,0.3333333333333333,40.472,0.675,0.8340000038146973,0.7979999995231628,1775837837.8415165,1775837878.3136897,True,39.192,0.653,1.2800000000000011,1.0326597264747908
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,6,4,0.6666666666666666,39.384,0.656,0.7979999952316285,0.7979999952316285,1775837881.2297032,1775837920.6138985,True,39.192,0.653,0.19200000000000017,1.0048989589712187
fix_vehicles1_to_vehicles2_E32_K6_F6_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,30,1,32,6,6,1.0,38.883,0.648,0.8220000019073487,0.8099999971389771,1775837214.3562675,1775837253.2396529,True,39.192,0.653,-0.3089999999999975,0.9921157379056951
dyn_vehicles1_to_vehicles2_E32_K8_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,30,1,32,8,0,0.0,38.891,0.648,0.8119999995231628,0.8040000042915344,1775837002.8293362,1775837041.7201538,True,38.891,0.648,0.0,1.0
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,8,1,0.125,39.708,0.662,0.8139999995231628,0.8039999995231628,1775837923.529914,1775837963.238135,True,38.891,0.648,0.8170000000000002,1.0210074310251729
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,8,2,0.25,39.992,0.667,0.8040000042915344,0.7740000042915344,1775837966.130152,1775838006.122398,True,38.891,0.648,1.100999999999999,1.0283098917487337
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,8,4,0.5,38.084,0.635,0.7959999976158142,0.7959999976158142,1775838009.1544173,1775838047.2386708,True,38.891,0.648,-0.806999999999995,0.9792496978735441
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,30,1,32,8,6,0.75,39.996,0.667,0.8239999995231628,0.8319999947547912,1775838050.1786911,1775838090.1749766,True,38.891,0.648,1.105000000000004,1.0284127433082204
fix_vehicles1_to_vehicles2_E32_K8_F8_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,30,1,32,8,8,1.0,38.795,0.647,0.7799999952316284,0.7739999928474426,1775837256.1196108,1775837294.9150841,True,38.891,0.648,-0.09599999999999653,0.9975315625723176
dyn_vehicles1_to_vehicles2_E8_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,8,4,0,0.0,34.669,0.578,0.7859999952316284,0.8259999947547912,1775840346.0557294,1775840380.7250047,True,34.669,0.578,0.0,1.0
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,8,4,1,0.25,34.216,0.57,0.8040000014305114,0.8259999995231628,1775841690.2071297,1775841724.4235926,True,34.669,0.578,-0.45299999999999585,0.9869335717788227
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,8,4,2,0.5,34.512,0.575,0.7759999976158142,0.8499999923706054,1775841727.3236327,1775841761.8361192,True,34.669,0.578,-0.15699999999999648,0.9954714586518216
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,8,4,3,0.75,35.053,0.584,0.8099999995231628,0.8179999971389771,1775841764.7281606,1775841799.7806737,True,34.669,0.578,0.38400000000000034,1.0110761775649717
fix_vehicles1_to_vehicles2_E8_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,8,4,4,1.0,33.931,0.566,0.778,0.8219999947547912,1775840672.9282782,1775840706.858991,True,34.669,0.578,-0.7379999999999995,0.9787129712423203
dyn_vehicles1_to_vehicles2_E16_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,16,4,0,0.0,39.618,0.66,0.7560000023841857,0.75,1775840056.3208058,1775840095.938333,True,39.618,0.66,0.0,1.0
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,4,1,0.25,39.639,0.661,0.8259999995231628,0.8259999995231628,1775840709.7988856,1775840749.4375582,True,39.618,0.66,0.021000000000000796,1.000530062092988
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,4,2,0.5,41.463,0.691,0.8079999995231628,0.8079999995231628,1775840752.4694636,1775840793.9322617,True,39.618,0.66,1.8449999999999989,1.046569741026806
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,4,3,0.75,40.935,0.682,0.7999999952316285,0.7979999971389771,1775840796.8401837,1775840837.775169,True,39.618,0.66,1.3170000000000002,1.033242465545964
fix_vehicles1_to_vehicles2_E16_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,16,4,4,1.0,40.504,0.675,0.8059999928474426,0.7220000004768372,1775840383.7331152,1775840424.2372897,True,39.618,0.66,0.8859999999999957,1.0223635721136857
dyn_vehicles1_to_vehicles2_E16_K6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,16,6,0,0.0,38.997,0.65,0.7819999976158142,0.7940000042915344,1775840098.854445,1775840137.8519356,True,38.997,0.65,0.0,1.0
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,6,1,0.16666666666666666,40.311,0.672,0.8100000019073487,0.8039999923706055,1775840840.7591007,1775840881.070254,True,38.997,0.65,1.314,1.033694899607662
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,6,2,0.3333333333333333,41.495,0.692,0.8000000019073487,0.764,1775840884.0301974,1775840925.5254714,True,38.997,0.65,2.4979999999999976,1.064056209452009
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,6,4,0.6666666666666666,40.647,0.677,0.7580000042915345,0.7639999976158142,1775840928.4254258,1775840969.072846,True,38.997,0.65,1.6499999999999986,1.0423109469959226
fix_vehicles1_to_vehicles2_E16_K6_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,16,6,6,1.0,39.861,0.664,0.8239999947547912,0.7479999957084655,1775840427.1396105,1775840467.0007102,True,38.997,0.65,0.8639999999999972,1.022155550426956
dyn_vehicles1_to_vehicles2_E16_K8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,16,8,0,0.0,40.902,0.682,0.7939999971389771,0.8199999971389771,1775840140.748046,1775840181.649597,True,40.902,0.682,0.0,1.0
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,8,1,0.125,40.364,0.673,0.8160000038146973,0.7899999976158142,1775840972.040808,1775841012.4043505,True,40.902,0.682,-0.5380000000000038,0.9868466089677765
