direction,epoch_budget,E,K,F,mean_runtime_sec,mean_runtime_diff_sec_vs_dynamic,mean_runtime_ratio_vs_dynamic,num_runs
vehicles1->vehicles2,50,8,4,3,43.621,0.5519999999999996,1.0128166430611345,1
vehicles1->vehicles2,50,8,4,4,42.572,-0.4969999999999999,0.988460377533725,1
vehicles1->vehicles2,50,16,4,1,49.424,-1.514000000000003,0.9702775923671915,1
vehicles1->vehicles2,50,16,4,2,49.404,-1.533999999999999,0.9698849581844595,1
vehicles1->vehicles2,50,16,4,3,50.16,-0.7780000000000058,0.9847265302917271,1
vehicles1->vehicles2,50,16,4,4,49.538,-1.4000000000000057,0.9725156072087635,1
vehicles1->vehicles2,50,16,6,1,50.732,0.7310000000000016,1.0146197076058479,1
vehicles1->vehicles2,50,16,6,2,50.88,0.8790000000000049,1.0175796484070319,1
vehicles1->vehicles2,50,16,6,4,48.719,-1.2819999999999965,0.9743605127897442,1
vehicles1->vehicles2,50,16,6,6,49.149,-0.8519999999999968,0.9829603407931842,1
vehicles1->vehicles2,50,16,8,1,51.783,1.4710000000000036,1.0292375576403245,1
vehicles1->vehicles2,50,16,8,2,51.303,0.9909999999999997,1.0196970901574176,1
vehicles1->vehicles2,50,16,8,4,51.219,0.9070000000000036,1.0180275083479091,1
vehicles1->vehicles2,50,16,8,6,50.487,0.17500000000000426,1.0034782954364765,1
vehicles1->vehicles2,50,16,8,8,51.689,1.3770000000000024,1.0273692160915886,1
vehicles1->vehicles2,50,32,4,1,64.648,2.753999999999998,1.0444954276666558,1
vehicles1->vehicles2,50,32,4,2,64.004,2.1100000000000065,1.0340905418942063,1
vehicles1->vehicles2,50,32,4,3,63.305,1.4110000000000014,1.0227970401008175,1
vehicles1->vehicles2,50,32,4,4,61.918,0.02400000000000091,1.000387759718228,1
vehicles1->vehicles2,50,32,6,1,61.609,-1.9600000000000009,0.9691673614497632,1
vehicles1->vehicles2,50,32,6,2,64.443,0.8739999999999952,1.0137488398433199,1
vehicles1->vehicles2,50,32,6,4,62.344,-1.2250000000000014,0.9807296009061021,1
vehicles1->vehicles2,50,32,6,6,64.362,0.7929999999999922,1.012474633862417,1
vehicles1->vehicles2,50,32,8,1,66.446,4.701999999999998,1.0761531484840632,1
vehicles1->vehicles2,50,32,8,2,64.167,2.423000000000002,1.0392426794506349,1
vehicles1->vehicles2,50,32,8,4,65.136,3.391999999999996,1.0549365120497538,1
