run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
dyn_vehicles1_to_vehicles2_E8_K4_ep80_s1,target_dynamic,8,4,0,80,0.832,0.838,0.838,0.8396,0.653,1.113,
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep80_s1,hybrid_transfer,8,4,1,66,0.844,0.84,0.808,0.8091,0.8029,1.008,5
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep80_s1,hybrid_transfer,8,4,2,66,0.848,0.85,0.82,0.8206,0.6975,1.1642,"5,4"
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep80_s1,hybrid_transfer,8,4,3,78,0.836,0.846,0.856,0.8572,0.5951,1.2345,"5,4,2"
fix_vehicles1_to_vehicles2_E8_K4_F4_ep80_s1,hybrid_transfer,8,4,4,77,0.852,0.812,0.802,0.8035,0.8679,1.5392,"5,4,2,6"
dyn_vehicles1_to_vehicles2_E16_K4_ep80_s1,target_dynamic,16,4,0,49,0.816,0.814,0.828,0.8292,0.7363,1.8532,
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep80_s1,hybrid_transfer,16,4,1,77,0.828,0.846,0.758,0.7562,1.0508,1.8028,6
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep80_s1,hybrid_transfer,16,4,2,56,0.84,0.81,0.808,0.8042,0.8455,1.7151,"6,14"
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep80_s1,hybrid_transfer,16,4,3,56,0.852,0.808,0.758,0.752,1.0432,1.6894,"6,14,10"
fix_vehicles1_to_vehicles2_E16_K4_F4_ep80_s1,hybrid_transfer,16,4,4,70,0.848,0.832,0.856,0.8561,0.6145,2.5399,"6,14,10,7"
dyn_vehicles1_to_vehicles2_E16_K6_ep80_s1,target_dynamic,16,6,0,52,0.844,0.834,0.822,0.8231,0.7294,1.7048,
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep80_s1,hybrid_transfer,16,6,1,64,0.856,0.826,0.818,0.8181,0.7961,1.8614,10
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep80_s1,hybrid_transfer,16,6,2,49,0.828,0.806,0.812,0.8113,0.748,1.9202,"10,4"
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep80_s1,hybrid_transfer,16,6,4,34,0.832,0.796,0.834,0.8333,0.7445,1.8537,"10,4,6,14"
fix_vehicles1_to_vehicles2_E16_K6_F6_ep80_s1,hybrid_transfer,16,6,6,46,0.832,0.826,0.838,0.8382,0.6429,2.4357,"10,4,6,14,7,2"
dyn_vehicles1_to_vehicles2_E16_K8_ep80_s1,target_dynamic,16,8,0,52,0.832,0.822,0.82,0.8204,0.7512,2.0007,
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep80_s1,hybrid_transfer,16,8,1,61,0.832,0.848,0.796,0.7957,0.8227,2.0209,6
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep80_s1,hybrid_transfer,16,8,2,61,0.828,0.844,0.77,0.7667,0.9204,1.9282,"6,2"
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep80_s1,hybrid_transfer,16,8,4,46,0.852,0.842,0.828,0.828,0.7021,1.9451,"6,2,14,7"
hyb_vehicles1_to_vehicles2_E16_K8_F6_ep80_s1,hybrid_transfer,16,8,6,69,0.824,0.824,0.794,0.7963,0.8335,1.9546,"6,2,14,7,4,13"
fix_vehicles1_to_vehicles2_E16_K8_F8_ep80_s1,hybrid_transfer,16,8,8,46,0.84,0.794,0.824,0.8234,0.8246,2.3018,"6,2,14,7,4,13,5,15"
dyn_vehicles1_to_vehicles2_E32_K4_ep80_s1,target_dynamic,32,4,0,75,0.832,0.828,0.794,0.7896,0.96,2.4053,
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep80_s1,hybrid_transfer,32,4,1,50,0.816,0.802,0.752,0.7505,1.1478,2.2786,23
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep80_s1,hybrid_transfer,32,4,2,75,0.828,0.85,0.716,0.7192,1.422,2.149,"23,4"
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep80_s1,hybrid_transfer,32,4,3,71,0.84,0.83,0.812,0.8126,0.8954,1.8343,"23,4,14"
fix_vehicles1_to_vehicles2_E32_K4_F4_ep80_s1,hybrid_transfer,32,4,4,59,0.844,0.856,0.78,0.7779,0.9945,3.3182,"23,4,14,6"
dyn_vehicles1_to_vehicles2_E32_K6_ep80_s1,target_dynamic,32,6,0,78,0.832,0.842,0.822,0.8207,0.9691,2.4621,
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep80_s1,hybrid_transfer,32,6,1,50,0.832,0.798,0.754,0.752,1.1618,2.4221,23
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep80_s1,hybrid_transfer,32,6,2,71,0.848,0.854,0.756,0.7581,1.2235,2.3162,"23,14"
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep80_s1,hybrid_transfer,32,6,4,59,0.84,0.84,0.76,0.7583,1.1648,2.418,"23,14,5,7"
fix_vehicles1_to_vehicles2_E32_K6_F6_ep80_s1,hybrid_transfer,32,6,6,77,0.832,0.856,0.796,0.794,0.946,3.1745,"23,14,5,7,3,6"
dyn_vehicles1_to_vehicles2_E32_K8_ep80_s1,target_dynamic,32,8,0,59,0.812,0.848,0.818,0.8197,0.8923,2.5145,
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep80_s1,hybrid_transfer,32,8,1,77,0.836,0.808,0.81,0.8096,0.8569,2.5424,23
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep80_s1,hybrid_transfer,32,8,2,44,0.832,0.794,0.75,0.741,1.2143,2.4191,"23,10"
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep80_s1,hybrid_transfer,32,8,4,63,0.832,0.828,0.824,0.8237,0.8674,2.3988,"23,10,7,16"
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep80_s1,hybrid_transfer,32,8,6,38,0.824,0.846,0.816,0.8147,0.9477,2.4651,"23,10,7,16,3,25"
fix_vehicles1_to_vehicles2_E32_K8_F8_ep80_s1,hybrid_transfer,32,8,8,59,0.836,0.826,0.794,0.7929,0.9965,3.1182,"23,10,7,16,3,25,31,18"
