run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep30_s1,hybrid_transfer,32,4,1,27,0.792,0.812,0.81,0.8118,0.6068,2.5823,23
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep30_s1,hybrid_transfer,32,4,2,30,0.784,0.786,0.786,0.787,0.6355,2.7203,"23,4"
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep30_s1,hybrid_transfer,32,4,3,27,0.792,0.804,0.766,0.7707,0.6684,2.518,"23,4,14"
fix_vehicles1_to_vehicles2_E32_K4_F4_ep30_s1,hybrid_transfer,32,4,4,29,0.804,0.828,0.798,0.8014,0.6281,3.264,"23,4,14,6"
dyn_vehicles1_to_vehicles2_E32_K6_ep30_s1,target_dynamic,32,6,0,28,0.78,0.752,0.808,0.8105,0.5707,2.7406,
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep30_s1,hybrid_transfer,32,6,1,27,0.8,0.776,0.8,0.8022,0.671,2.6707,23
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep30_s1,hybrid_transfer,32,6,2,29,0.808,0.834,0.798,0.8017,0.6419,2.4955,"23,14"
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep30_s1,hybrid_transfer,32,6,4,30,0.792,0.798,0.798,0.7998,0.6248,2.7293,"23,14,5,7"
fix_vehicles1_to_vehicles2_E32_K6_F6_ep30_s1,hybrid_transfer,32,6,6,29,0.792,0.822,0.81,0.8116,0.5875,3.2017,"23,14,5,7,3,9"
dyn_vehicles1_to_vehicles2_E32_K8_ep30_s1,target_dynamic,32,8,0,28,0.816,0.812,0.804,0.8074,0.5887,2.6835,
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep30_s1,hybrid_transfer,32,8,1,27,0.776,0.814,0.804,0.8048,0.5922,2.7688,23
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep30_s1,hybrid_transfer,32,8,2,27,0.804,0.804,0.774,0.7773,0.6927,2.5934,"23,10"
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep30_s1,hybrid_transfer,32,8,4,30,0.8,0.796,0.796,0.7996,0.648,2.8466,"23,10,16,7"
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep30_s1,hybrid_transfer,32,8,6,27,0.796,0.824,0.832,0.8324,0.575,2.5582,"23,10,16,7,3,6"
fix_vehicles1_to_vehicles2_E32_K8_F8_ep30_s1,hybrid_transfer,32,8,8,27,0.796,0.78,0.774,0.7776,0.6941,3.0921,"23,10,16,7,3,6,31,18"
