run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
dyn_vehicles1_to_vehicles2_E8_K4_ep60_s1,target_dynamic,8,4,0,58,0.824,0.834,0.774,0.7706,0.8041,1.25,
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep60_s1,hybrid_transfer,8,4,1,47,0.828,0.836,0.742,0.7391,1.1386,1.1937,5
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep60_s1,hybrid_transfer,8,4,2,58,0.832,0.808,0.784,0.7832,0.7896,1.2868,"5,4"
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep60_s1,hybrid_transfer,8,4,3,56,0.82,0.804,0.74,0.7392,0.956,1.2806,"5,4,6"
fix_vehicles1_to_vehicles2_E8_K4_F4_ep60_s1,hybrid_transfer,8,4,4,44,0.816,0.852,0.732,0.727,0.9746,1.6076,"5,4,6,2"
dyn_vehicles1_to_vehicles2_E16_K4_ep60_s1,target_dynamic,16,4,0,56,0.824,0.8,0.814,0.8137,0.6582,1.9564,
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep60_s1,hybrid_transfer,16,4,1,52,0.824,0.824,0.828,0.828,0.6408,1.8946,6
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep60_s1,hybrid_transfer,16,4,2,46,0.824,0.826,0.776,0.7708,0.942,1.7251,"6,2"
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep60_s1,hybrid_transfer,16,4,3,52,0.832,0.838,0.786,0.7756,0.9077,1.7761,"6,2,14"
fix_vehicles1_to_vehicles2_E16_K4_F4_ep60_s1,hybrid_transfer,16,4,4,52,0.84,0.786,0.798,0.795,0.7438,2.4717,"6,2,14,7"
dyn_vehicles1_to_vehicles2_E16_K6_ep60_s1,target_dynamic,16,6,0,52,0.836,0.824,0.816,0.8157,0.7052,1.8951,
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep60_s1,hybrid_transfer,16,6,1,46,0.824,0.822,0.786,0.783,0.8947,1.9834,10
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep60_s1,hybrid_transfer,16,6,2,46,0.832,0.834,0.806,0.8036,0.704,1.9868,"10,4"
