epoch,max_true_max_test_acc,max_final_test_acc,mean_true_max_test_acc,mean_final_test_acc
30,0.8340000038146973,0.8319999947547912,0.8157837825465847,0.7984324299064843
40,0.8499999923706054,0.8499999923706054,0.8278918887860067,0.7912432416065319
50,0.8539999947547913,0.8380000019073486,0.8363783780561912,0.7969189186998316
60,0.8600000038146972,0.8280000014305114,0.8432432427664062,0.7940540524817802
80,0.8679999942779542,0.8560000038146973,0.8516216207839347,0.8011351329958116
100,0.8800000014305115,0.8679999990463256,0.8586486483651239,0.820918917449745
