run_id,mode,pair_group,pair_id,seed,source_task,target_task,task_name,num_classes,num_experts,top_k,fixed_k,dynamic_k,fixed_ratio,source_ref_run_id,source_stats_path,fixed_experts,best_val_epoch,best_val_acc,best_test_acc,best_test_macro_f1,best_test_loss,best_test_routing_entropy,final_test_acc,final_test_macro_f1,final_test_loss,final_test_routing_entropy,train_size,val_size,test_size,checkpoint_path,config_path,run_dir,log_path,fixed_experts_layer0,resolved_fixed_path
hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,6,4,2,0.6666666666666666,ref_vehicles1_E16_K6_s1,./results/runs/ref_vehicles1_E16_K6_s1/expert_stats_last3.json,"[10, 6, 15, 4]",10,0.7079999833106995,0.7039999980926513,0.7030897908403256,0.7853913135528564,2.214229702949524,0.7039999980926513,0.7030897908403256,0.7853913135528564,2.214229702949524,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1.log,"10,6,15,4",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F4_s1/resolved_fixed_experts.json
fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,6,6,0,1.0,ref_vehicles1_E16_K6_s1,./results/runs/ref_vehicles1_E16_K6_s1/expert_stats_last3.json,"[10, 6, 15, 4, 7, 2]",8,0.731999969959259,0.6520000009536743,0.6366057570092268,0.8239896407127381,2.490819215774536,0.6520000057220459,0.6414521926704632,0.8684243812561036,2.528067946434021,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1,/root/autodl-tmp/projects/six_moe/logs/fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1.log,"10,6,15,4,7,2",results/runs/fix_p01_vehicles1_to_vehicles2_E16_K6_F6_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,8,1,7,0.125,ref_vehicles1_E16_K8_s1,./results/runs/ref_vehicles1_E16_K8_s1/expert_stats_last3.json,[2],9,0.7359999690055847,0.7180000023841858,0.7201301775157776,0.7383268160820007,2.2461026310920715,0.6720000009536743,0.6579647912911416,0.8427951555252076,2.259649097919464,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1.log,2,results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F1_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,8,2,6,0.25,ref_vehicles1_E16_K8_s1,./results/runs/ref_vehicles1_E16_K8_s1/expert_stats_last3.json,"[2, 14]",9,0.7359999785423279,0.6860000004768372,0.6858096686777607,0.776005117893219,2.2340363264083862,0.6800000009536743,0.6685597911851934,0.8343795628547669,2.2066357135772705,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1.log,"2,14",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F2_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,8,4,4,0.5,ref_vehicles1_E16_K8_s1,./results/runs/ref_vehicles1_E16_K8_s1/expert_stats_last3.json,"[2, 14, 6, 7]",9,0.7279999833106995,0.7139999980926514,0.7172377335700812,0.7551583547592163,2.266129791736603,0.6480000057220459,0.6331257088536415,0.8859939556121826,2.257877469062805,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1.log,"2,14,6,7",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F4_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,8,6,2,0.75,ref_vehicles1_E16_K8_s1,./results/runs/ref_vehicles1_E16_K8_s1/expert_stats_last3.json,"[2, 14, 6, 7, 15, 5]",10,0.7119999885559082,0.6980000052452088,0.689821951959483,0.7888520040512085,2.2357096076011658,0.6980000052452088,0.689821951959483,0.7888520040512085,2.2357096076011658,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1.log,"2,14,6,7,15,5",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K8_F6_s1/resolved_fixed_experts.json
fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,8,8,0,1.0,ref_vehicles1_E16_K8_s1,./results/runs/ref_vehicles1_E16_K8_s1/expert_stats_last3.json,"[2, 14, 6, 7, 15, 5, 11, 4]",9,0.7199999928474426,0.6560000009536743,0.6503400092712835,0.8274015765190125,2.5170252323150635,0.6480000033378601,0.640880669654958,0.8732653241157532,2.4697606563568115,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1,/root/autodl-tmp/projects/six_moe/logs/fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1.log,"2,14,6,7,15,5,11,4",results/runs/fix_p01_vehicles1_to_vehicles2_E16_K8_F8_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,32,4,1,3,0.25,ref_vehicles1_E32_K4_s1,./results/runs/ref_vehicles1_E32_K4_s1/expert_stats_last3.json,[23],10,0.6839999694824219,0.6820000052452088,0.6591046801381715,0.8423813877105712,2.928005814552307,0.6820000052452088,0.6591046801381715,0.8423813877105712,2.928005814552307,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1.log,23,results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F1_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,32,4,2,2,0.5,ref_vehicles1_E32_K4_s1,./results/runs/ref_vehicles1_E32_K4_s1/expert_stats_last3.json,"[23, 4]",6,0.6919999785423279,0.671999993801117,0.6668194960369276,0.8409518098831177,2.9954203367233276,0.6779999980926513,0.6714153543385104,0.862663824081421,2.9206873178482056,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1.log,"23,4",results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F2_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,32,4,3,1,0.75,ref_vehicles1_E32_K4_s1,./results/runs/ref_vehicles1_E32_K4_s1/expert_stats_last3.json,"[23, 4, 14]",9,0.6879999785423279,0.6800000014305114,0.6649701951012542,0.8779039678573608,2.641113758087158,0.6459999985694885,0.6307121472884217,0.85552064371109,2.6419628858566284,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1.log,"23,4,14",results/runs/hyb_p01_vehicles1_to_vehicles2_E32_K4_F3_s1/resolved_fixed_experts.json
