epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
50,1,dyn_vehicles2_to_vehicles1_E8_K4_ep50_s1,target_dynamic,8,4,0,47,0.728,0.734,0.718,0.718,0.932,1.6199,
50,1,hyb_vehicles2_to_vehicles1_E8_K4_F1_ep50_s1,hybrid_transfer,8,4,1,41,0.712,0.712,0.716,0.7128,0.8396,1.6234,6
50,1,hyb_vehicles2_to_vehicles1_E8_K4_F2_ep50_s1,hybrid_transfer,8,4,2,49,0.728,0.71,0.736,0.7378,0.9033,1.6291,"6,4"
50,1,hyb_vehicles2_to_vehicles1_E8_K4_F3_ep50_s1,hybrid_transfer,8,4,3,41,0.716,0.726,0.738,0.7412,0.8312,1.604,"6,4,5"
50,1,fix_vehicles2_to_vehicles1_E8_K4_F4_ep50_s1,hybrid_transfer,8,4,4,50,0.724,0.728,0.728,0.7236,0.852,1.7942,"6,4,5,2"
50,1,dyn_vehicles2_to_vehicles1_E16_K4_ep50_s1,target_dynamic,16,4,0,34,0.704,0.69,0.714,0.7198,0.9599,1.9796,
50,1,hyb_vehicles2_to_vehicles1_E16_K4_F1_ep50_s1,hybrid_transfer,16,4,1,31,0.716,0.714,0.67,0.6684,1.0841,1.7958,6
50,1,hyb_vehicles2_to_vehicles1_E16_K4_F2_ep50_s1,hybrid_transfer,16,4,2,42,0.7,0.74,0.636,0.6408,1.3087,2.0717,"6,15"
50,1,hyb_vehicles2_to_vehicles1_E16_K4_F3_ep50_s1,hybrid_transfer,16,4,3,37,0.7,0.65,0.676,0.6747,1.1185,1.8341,"6,15,9"
50,1,fix_vehicles2_to_vehicles1_E16_K4_F4_ep50_s1,hybrid_transfer,16,4,4,40,0.736,0.71,0.752,0.7507,0.8338,2.606,"6,15,9,7"
50,1,dyn_vehicles2_to_vehicles1_E16_K6_ep50_s1,target_dynamic,16,6,0,50,0.732,0.762,0.762,0.7615,0.7868,2.0923,
50,1,hyb_vehicles2_to_vehicles1_E16_K6_F1_ep50_s1,hybrid_transfer,16,6,1,38,0.72,0.674,0.712,0.715,1.0091,2.0322,14
50,1,hyb_vehicles2_to_vehicles1_E16_K6_F2_ep50_s1,hybrid_transfer,16,6,2,44,0.74,0.712,0.662,0.664,1.2556,2.0546,"14,15"
50,1,hyb_vehicles2_to_vehicles1_E16_K6_F4_ep50_s1,hybrid_transfer,16,6,4,43,0.716,0.712,0.73,0.7339,0.9415,1.9573,"14,15,6,13"
50,1,fix_vehicles2_to_vehicles1_E16_K6_F6_ep50_s1,hybrid_transfer,16,6,6,37,0.716,0.716,0.678,0.6813,1.1903,2.5055,"14,15,6,13,7,4"
50,1,dyn_vehicles2_to_vehicles1_E16_K8_ep50_s1,target_dynamic,16,8,0,43,0.728,0.708,0.716,0.7188,0.9698,2.2495,
50,1,hyb_vehicles2_to_vehicles1_E16_K8_F1_ep50_s1,hybrid_transfer,16,8,1,43,0.708,0.71,0.63,0.6379,1.4804,2.2059,10
50,1,hyb_vehicles2_to_vehicles1_E16_K8_F2_ep50_s1,hybrid_transfer,16,8,2,34,0.716,0.682,0.7,0.7047,1.0312,2.2948,"10,6"
50,1,hyb_vehicles2_to_vehicles1_E16_K8_F4_ep50_s1,hybrid_transfer,16,8,4,43,0.72,0.7,0.708,0.7119,1.0006,2.2189,"10,6,4,15"
50,1,hyb_vehicles2_to_vehicles1_E16_K8_F6_ep50_s1,hybrid_transfer,16,8,6,44,0.736,0.688,0.71,0.7164,0.9702,2.1765,"10,6,4,15,5,12"
50,1,fix_vehicles2_to_vehicles1_E16_K8_F8_ep50_s1,hybrid_transfer,16,8,8,43,0.728,0.712,0.714,0.7194,1.0151,2.5215,"10,6,4,15,5,12,3,14"
50,1,dyn_vehicles2_to_vehicles1_E32_K4_ep50_s1,target_dynamic,32,4,0,48,0.712,0.718,0.652,0.6596,1.1651,2.5126,
50,1,hyb_vehicles2_to_vehicles1_E32_K4_F1_ep50_s1,hybrid_transfer,32,4,1,26,0.732,0.704,0.642,0.6471,1.2121,2.1919,6
50,1,hyb_vehicles2_to_vehicles1_E32_K4_F2_ep50_s1,hybrid_transfer,32,4,2,50,0.728,0.7,0.7,0.7032,0.9989,2.3182,"6,23"
50,1,hyb_vehicles2_to_vehicles1_E32_K4_F3_ep50_s1,hybrid_transfer,32,4,3,48,0.716,0.718,0.672,0.6749,1.0597,1.7992,"6,23,31"
50,1,fix_vehicles2_to_vehicles1_E32_K4_F4_ep50_s1,hybrid_transfer,32,4,4,49,0.744,0.712,0.576,0.5772,1.7659,3.3167,"6,23,31,9"
50,1,dyn_vehicles2_to_vehicles1_E32_K6_ep50_s1,target_dynamic,32,6,0,36,0.696,0.716,0.664,0.6671,1.0792,2.4903,
50,1,hyb_vehicles2_to_vehicles1_E32_K6_F1_ep50_s1,hybrid_transfer,32,6,1,48,0.724,0.746,0.646,0.6492,1.1989,2.4654,6
50,1,hyb_vehicles2_to_vehicles1_E32_K6_F2_ep50_s1,hybrid_transfer,32,6,2,44,0.724,0.716,0.632,0.6393,1.2968,2.3555,"6,14"
50,1,hyb_vehicles2_to_vehicles1_E32_K6_F4_ep50_s1,hybrid_transfer,32,6,4,49,0.732,0.722,0.636,0.6307,1.3682,2.3745,"6,14,8,23"
50,1,fix_vehicles2_to_vehicles1_E32_K6_F6_ep50_s1,hybrid_transfer,32,6,6,49,0.708,0.704,0.61,0.6109,1.62,3.2539,"6,14,8,23,30,24"
50,1,dyn_vehicles2_to_vehicles1_E32_K8_ep50_s1,target_dynamic,32,8,0,41,0.76,0.726,0.67,0.6737,1.0997,2.8411,
50,1,hyb_vehicles2_to_vehicles1_E32_K8_F1_ep50_s1,hybrid_transfer,32,8,1,43,0.728,0.744,0.684,0.6874,1.101,2.6117,6
50,1,hyb_vehicles2_to_vehicles1_E32_K8_F2_ep50_s1,hybrid_transfer,32,8,2,39,0.712,0.688,0.68,0.6856,1.1507,2.7258,"6,14"
50,1,hyb_vehicles2_to_vehicles1_E32_K8_F4_ep50_s1,hybrid_transfer,32,8,4,31,0.708,0.696,0.686,0.687,1.157,2.4656,"6,14,31,23"
50,1,hyb_vehicles2_to_vehicles1_E32_K8_F6_ep50_s1,hybrid_transfer,32,8,6,43,0.732,0.744,0.65,0.6582,1.1837,2.2602,"6,14,31,23,2,21"
50,1,fix_vehicles2_to_vehicles1_E32_K8_F8_ep50_s1,hybrid_transfer,32,8,8,49,0.74,0.728,0.63,0.6363,1.2512,3.3141,"6,14,31,23,2,21,10,8"
60,1,dyn_vehicles2_to_vehicles1_E8_K4_ep60_s1,target_dynamic,8,4,0,58,0.728,0.718,0.692,0.6885,1.0403,1.5414,
60,1,hyb_vehicles2_to_vehicles1_E8_K4_F1_ep60_s1,hybrid_transfer,8,4,1,58,0.72,0.722,0.714,0.7167,0.9661,1.5606,6
60,1,hyb_vehicles2_to_vehicles1_E8_K4_F2_ep60_s1,hybrid_transfer,8,4,2,49,0.736,0.726,0.69,0.6809,1.0058,1.5005,"6,5"
60,1,hyb_vehicles2_to_vehicles1_E8_K4_F3_ep60_s1,hybrid_transfer,8,4,3,50,0.712,0.746,0.692,0.6788,1.0982,1.6132,"6,5,4"
