epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
30,1,hyb_vehicles1_to_vehicles2_E32_K8_F6_ep30_s1,hybrid_transfer,32,8,6,27,0.796,0.824,0.832,0.8324,0.575,2.5582,"23,10,16,7,3,6"
30,1,fix_vehicles1_to_vehicles2_E32_K8_F8_ep30_s1,hybrid_transfer,32,8,8,27,0.796,0.78,0.774,0.7776,0.6941,3.0921,"23,10,16,7,3,6,31,18"
40,1,dyn_vehicles1_to_vehicles2_E8_K4_ep40_s1,target_dynamic,8,4,0,29,0.792,0.786,0.826,0.8258,0.6226,1.266,
40,1,hyb_vehicles1_to_vehicles2_E8_K4_F1_ep40_s1,hybrid_transfer,8,4,1,32,0.784,0.804,0.826,0.8254,0.7024,1.2739,5
40,1,hyb_vehicles1_to_vehicles2_E8_K4_F2_ep40_s1,hybrid_transfer,8,4,2,36,0.804,0.776,0.85,0.8496,0.5419,1.3021,"5,6"
40,1,hyb_vehicles1_to_vehicles2_E8_K4_F3_ep40_s1,hybrid_transfer,8,4,3,39,0.792,0.81,0.818,0.8176,0.6437,1.205,"5,6,4"
40,1,fix_vehicles1_to_vehicles2_E8_K4_F4_ep40_s1,hybrid_transfer,8,4,4,31,0.808,0.778,0.822,0.8219,0.5823,1.6687,"5,6,4,2"
40,1,dyn_vehicles1_to_vehicles2_E16_K4_ep40_s1,target_dynamic,16,4,0,34,0.82,0.756,0.75,0.7454,0.6959,2.0218,
40,1,hyb_vehicles1_to_vehicles2_E16_K4_F1_ep40_s1,hybrid_transfer,16,4,1,40,0.812,0.826,0.826,0.8261,0.5939,1.9663,6
40,1,hyb_vehicles1_to_vehicles2_E16_K4_F2_ep40_s1,hybrid_transfer,16,4,2,40,0.816,0.808,0.808,0.8058,0.6062,1.8862,"6,14"
40,1,hyb_vehicles1_to_vehicles2_E16_K4_F3_ep40_s1,hybrid_transfer,16,4,3,34,0.824,0.8,0.798,0.7963,0.6496,1.9176,"6,14,7"
40,1,fix_vehicles1_to_vehicles2_E16_K4_F4_ep40_s1,hybrid_transfer,16,4,4,32,0.812,0.806,0.722,0.717,0.8489,2.5202,"6,14,7,2"
40,1,dyn_vehicles1_to_vehicles2_E16_K6_ep40_s1,target_dynamic,16,6,0,21,0.8,0.782,0.794,0.7935,0.6849,1.8826,
40,1,hyb_vehicles1_to_vehicles2_E16_K6_F1_ep40_s1,hybrid_transfer,16,6,1,29,0.812,0.81,0.804,0.8029,0.6262,2.0053,10
40,1,hyb_vehicles1_to_vehicles2_E16_K6_F2_ep40_s1,hybrid_transfer,16,6,2,31,0.824,0.8,0.764,0.7575,0.7026,1.9639,"10,4"
