pair_id,source_task,target_task,num_experts,top_k,best_fixed_k,best_fixed_ratio,best_mode,best_mean_acc,best_std_acc,num_seeds
p04_non_insect_invertebrates_to_insects,non_insect_invertebrates,insects,32,4,1,0.25,hybrid_transfer,0.576000006198883,,1
p04_non_insect_invertebrates_to_insects,non_insect_invertebrates,insects,32,6,6,1.0,hybrid_transfer,0.5879999966621399,,1
p04_non_insect_invertebrates_to_insects,non_insect_invertebrates,insects,32,8,1,0.125,hybrid_transfer,0.5779999947547912,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,8,4,4,1.0,hybrid_transfer,0.464,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,16,4,1,0.25,hybrid_transfer,0.46800000238418576,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,16,6,1,0.16666666666666666,hybrid_transfer,0.4880000023841858,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,16,8,0,0.0,target_dynamic,0.47000000286102295,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,32,4,4,1.0,hybrid_transfer,0.5079999978542328,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,32,6,1,0.16666666666666666,hybrid_transfer,0.4980000023841858,,1
p05_medium_sized_mammals_to_small_mammals,medium_sized_mammals,small_mammals,32,8,6,0.75,hybrid_transfer,0.512,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,8,4,3,0.75,hybrid_transfer,0.5899999942779541,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,16,4,3,0.75,hybrid_transfer,0.5979999966621399,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,16,6,6,1.0,hybrid_transfer,0.5899999942779541,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,16,8,4,0.5,hybrid_transfer,0.5780000038146973,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,32,4,2,0.5,hybrid_transfer,0.6120000004768371,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,32,6,4,0.6666666666666666,hybrid_transfer,0.6039999942779541,,1
p05_small_mammals_to_medium_sized_mammals,small_mammals,medium_sized_mammals,32,8,0,0.0,target_dynamic,0.5999999961853028,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,8,4,1,0.25,hybrid_transfer,0.5739999947547912,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,16,4,4,1.0,hybrid_transfer,0.5879999952316284,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,16,6,6,1.0,hybrid_transfer,0.5859999971389771,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,16,8,1,0.125,hybrid_transfer,0.588,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,32,4,4,1.0,hybrid_transfer,0.6000000014305115,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,32,6,6,1.0,hybrid_transfer,0.5679999952316284,,1
p06_large_carnivores_to_large_omnivores_herbivores,large_carnivores,large_omnivores_herbivores,32,8,0,0.0,target_dynamic,0.5839999971389771,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,8,4,3,0.75,hybrid_transfer,0.6399999961853028,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,16,4,0,0.0,target_dynamic,0.6159999961853028,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,16,6,1,0.16666666666666666,hybrid_transfer,0.6020000009536743,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,16,8,4,0.5,hybrid_transfer,0.6300000033378601,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,32,4,2,0.5,hybrid_transfer,0.6500000052452087,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,32,6,1,0.16666666666666666,hybrid_transfer,0.6420000009536743,,1
p06_large_omnivores_herbivores_to_large_carnivores,large_omnivores_herbivores,large_carnivores,32,8,1,0.125,hybrid_transfer,0.6459999985694885,,1
