run_id,pair_id,source_task,target_task,epoch,seed,mode,E,K,F,best_val_epoch,best_test_acc_at_best_val_epoch,true_max_test_acc,epoch_of_true_max_test_acc,final_test_acc
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,6,2,29,0.8340000038146973,0.8340000038146973,29,0.7979999995231628
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,6,4,30,0.7979999952316285,0.8159999923706055,29,0.7979999952316285
fix_vehicles1_to_vehicles2_E32_K6_F6_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,6,6,29,0.8220000019073487,0.8220000019073487,29,0.8099999971389771
dyn_vehicles1_to_vehicles2_E32_K8_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,target_dynamic,32,8,0,28,0.8119999995231628,0.8200000042915344,29,0.8040000042915344
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,8,1,27,0.8139999995231628,0.8139999995231628,27,0.8039999995231628
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,8,2,27,0.8040000042915344,0.8159999923706055,29,0.7740000042915344
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,8,4,30,0.7959999976158142,0.8019999995231628,27,0.7959999976158142
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,8,6,27,0.8239999995231628,0.8319999947547912,30,0.8319999947547912
fix_vehicles1_to_vehicles2_E32_K8_F8_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,32,8,8,27,0.7799999952316284,0.8160000019073487,29,0.7739999928474426
dyn_vehicles1_to_vehicles2_E8_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,8,4,0,29,0.7859999952316284,0.8259999947547912,40,0.8259999947547912
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,8,4,1,32,0.8040000014305114,0.8379999923706055,31,0.8259999995231628
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,8,4,2,36,0.7759999976158142,0.8499999923706054,40,0.8499999923706054
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,8,4,3,39,0.8099999995231628,0.8179999971389771,40,0.8179999971389771
fix_vehicles1_to_vehicles2_E8_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,8,4,4,31,0.778,0.8220000019073487,39,0.8219999947547912
dyn_vehicles1_to_vehicles2_E16_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,16,4,0,34,0.7560000023841857,0.8199999928474426,30,0.75
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,4,1,40,0.8259999995231628,0.8280000038146973,36,0.8259999995231628
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,4,2,40,0.8079999995231628,0.8139999947547912,36,0.8079999995231628
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,4,3,34,0.7999999952316285,0.8319999990463257,36,0.7979999971389771
fix_vehicles1_to_vehicles2_E16_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,4,4,32,0.8059999928474426,0.8399999923706055,35,0.7220000004768372
dyn_vehicles1_to_vehicles2_E16_K6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,16,6,0,21,0.7819999976158142,0.8319999923706055,36,0.7940000042915344
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,6,1,29,0.8100000019073487,0.8400000014305115,36,0.8039999923706055
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,6,2,31,0.8000000019073487,0.8199999923706055,35,0.764
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,6,4,39,0.7580000042915345,0.8220000019073487,35,0.7639999976158142
fix_vehicles1_to_vehicles2_E16_K6_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,6,6,38,0.8239999947547912,0.8379999966621399,31,0.7479999957084655
dyn_vehicles1_to_vehicles2_E16_K8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,16,8,0,36,0.7939999971389771,0.8240000014305114,31,0.8199999971389771
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,8,1,31,0.8160000038146973,0.8339999923706055,35,0.7899999976158142
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,8,2,36,0.8119999947547912,0.8259999923706055,35,0.8200000019073487
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,8,4,34,0.8200000019073487,0.8360000014305115,36,0.8099999947547912
hyb_vehicles1_to_vehicles2_E16_K8_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,8,6,27,0.8060000042915344,0.8379999923706055,36,0.7699999952316284
fix_vehicles1_to_vehicles2_E16_K8_F8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,16,8,8,36,0.8200000014305114,0.8219999923706055,35,0.7820000042915344
dyn_vehicles1_to_vehicles2_E32_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,32,4,0,38,0.8179999971389771,0.8360000014305115,34,0.7939999947547912
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,4,1,27,0.8119999995231628,0.8299999923706055,29,0.7760000019073486
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,4,2,38,0.8339999990463257,0.8339999990463257,38,0.7780000019073486
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,4,3,38,0.8399999947547913,0.8399999947547913,38,0.7939999971389771
fix_vehicles1_to_vehicles2_E32_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,4,4,30,0.8140000019073487,0.8219999971389771,24,0.7859999971389771
dyn_vehicles1_to_vehicles2_E32_K6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,32,6,0,36,0.7679999976158142,0.8079999947547912,38,0.7780000042915344
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,6,1,37,0.8020000019073487,0.8219999995231628,31,0.7940000019073487
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,6,2,36,0.7599999976158142,0.8319999995231628,38,0.7979999971389771
